route	sample	status	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	raw_candidate_present	raw_mode	raw_accession	gtdb_mapping_method	ANI	XnY_ctx	Real_min_align_fraction	Ref_breadth	Ref_hit_mean_depth	Ref_zip_af	Ref_zip_aaf_ani	Default_call	Default_call_rule	profile_path	raw_path
marine_setup_truth_profile_rescore	3	FN	s__Hyperthermus butylicus	0.0687427882179502	6.87427882179502	True	True	split_exact	GCF_000015145.1	exact_accession	0.999847	1000.0	1.0	0.996648	36.919349	0.996648	0.999847	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Palaeococcus pacificus	0.017543630259902	1.7543630259902	True	True	split_exact	GCF_000725425.1	exact_accession	0.998512	1000.0	1.0	0.967702	9.194086	0.967801	0.998512	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Psychrobacter sp000586415	0.0145134560003661	1.45134560003661	True	True	split_exact	GCF_904846625.1	exact_accession	0.859006	359.0	0.359	0.044204	4.148724	0.044966	0.859006	weak	below_default_call_thresholds	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Methylomonas methanica	0.0079758632074084	0.7975863207408399	False	True	split_exact	GCF_001644045.1	exact_accession	0.663887	3.0	0.003	0.000609	4.802885	0.000615	0.663887	weak	below_default_call_thresholds	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Clostridium cagae	0.0063806905659267	0.63806905659267	False	True	split_exact	GCF_900290265.1	exact_accession	0.95959	606.0	0.606	0.397817	3.549937	0.411056	0.95959	weak	below_default_call_thresholds	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Shewanella sp029835735	0.0052627621983309	0.52627621983309	False	True	split_exact	GCF_029835735.1	exact_accession	0.93119	460.0	0.46	0.210122	3.243209	0.22007	0.93119	weak	below_default_call_thresholds	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Pyrococcus sp000211475	0.0051025911749034	0.51025911749034	False	True	split_exact	GCF_000211475.1	exact_accession	0.999049	932.0	0.932	0.91711	2.943723	0.979289	0.999049	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Methanosarcina siciliae	0.004785517924445	0.4785517924445	False	True	split_exact	GCF_000970085.1	exact_accession	0.994048	921.0	0.921	0.817482	2.882628	0.877258	0.994048	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Nitrosopumilus sediminis	0.0039879316037042	0.39879316037041995	False	True	split_exact	GCF_000299395.1	exact_accession	0.992464	880.0	0.88	0.751081	2.454752	0.847215	0.992464	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
marine_setup_truth_profile_rescore	3	FN	s__Archaeoglobus fulgidus	0.0033505163063908	0.33505163063908	False	True	split_exact	GCF_000008665.1	exact_accession	0.992698	737.0	0.737	0.7127	2.166838	0.851586	0.992698	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95	/mnt/new3T/minco_marine_selected_default_20260630/minco_sample3_current_default.tsv	/mnt/new3T/minco_marine_selected_default_20260630/sample3_work/minco.best_diff_split.exact.unfiltered.tsv
