sample	gtdb_species	truth_raw_abundance	truth_abundance
25	s__Apilactobacillus kunkeei_F	4.0	0.00785854616895817
25	s__Aquipseudomonas alloputida	1.0	0.0019646365422395424
25	s__Aquipseudomonas chlororaphis_I	5.0	0.009823182711197712
25	s__Aquipseudomonas silesiensis	7.0	0.013752455795676797
25	s__Companilactobacillus allii	3.51212196561	0.0069000431544395755
25	s__Companilactobacillus crustorum	1.0	0.0019646365422395424
25	s__Elizabethkingia anophelis	6.0	0.011787819253437254
25	s__Fusobacterium animalis	1.0	0.0019646365422395424
25	s__Herbaspirillum rubrisubalbicans	0.297411042953	0.000584304603051038
25	s__Herbaspirillum seropedicae	11.702588957047	0.02299133390382347
25	s__Lacticaseibacillus casei	1.0	0.0019646365422395424
25	s__Lacticaseibacillus paracasei	15.363727978934001	0.03018414141244181
25	s__Lacticaseibacillus rhamnosus	6.97026830998	0.013694043831000965
25	s__Lactiplantibacillus paraplantarum	5.0	0.009823182711197712
25	s__Lactiplantibacillus plantarum	31.764527556473396	0.062405751584422554
25	s__Lactobacillus acidophilus	2.0	0.003929273084479085
25	s__Lactobacillus amylovorus	22.0	0.043222003929269934
25	s__Lactobacillus delbrueckii	13.127711916957	0.025791182548047235
25	s__Lactobacillus gasseri	4.0	0.00785854616895817
25	s__Lactobacillus helveticus	29.6381373795055	0.05822816773969222
25	s__Lactobacillus jensenii	0.133326413436	0.0002619379438821027
25	s__Lactobacillus sp910589675	1.0	0.0019646365422395424
25	s__Lactobacillus sp945980025	4.0	0.00785854616895817
25	s__Latilactobacillus curvatus	16.998781585708	0.03339642747683057
25	s__Lentilactobacillus buchneri	1.0	0.0019646365422395424
25	s__Levilactobacillus brevis	81.4246276547	0.15996979892867202
25	s__Ligilactobacillus salivarius	3.0	0.005893909626718627
25	s__Limosilactobacillus fermentum	85.245358052433	0.1674761454861037
25	s__Limosilactobacillus reuteri	7.0	0.013752455795676797
25	s__Limosilactobacillus reuteri_J	1.0	0.0019646365422395424
25	s__Limosilactobacillus reuteri_L	1.0	0.0019646365422395424
25	s__Loigolactobacillus backii	9.0	0.017681728880155883
25	s__Mycobacterium avium	2.0	0.003929273084479085
25	s__Paucilactobacillus hokkaidonensis	0.0683290183563	0.00013424168635814345
25	s__Pediococcus acidilactici	0.753082167941	0.0014795327464458647
25	s__Pediococcus damnosus	11.18275421942	0.02197004758235596
25	s__Pediococcus pentosaceus	5.0	0.009823182711197712
25	s__Pseudomonas aeruginosa	78.0	0.1532416502946843
25	s__Pseudomonas citronellolis	6.0	0.011787819253437254
25	s__Secundilactobacillus paracollinoides	0.817245780583	0.001605590924524441
25	s__Sphingobium sp001563265	2.0	0.003929273084479085
25	s__Sphingomonas_D sanxanigenens	1.0	0.0019646365422395424
25	s__Stenotrophomonas forensis	1.0	0.0019646365422395424
25	s__Stenotrophomonas geniculata	7.0	0.013752455795676797
25	s__Stenotrophomonas maltophilia	1.0	0.0019646365422395424
25	s__Stenotrophomonas muris	3.0	0.005893909626718627
25	s__Stenotrophomonas rhizophila_A	2.0	0.003929273084479085
25	s__Streptococcus hominis	1.0	0.0019646365422395424
25	s__Stutzerimonas nitrititolerans	5.0	0.009823182711197712
