sample	gtdb_species	read_rows	truth_abundance	source_genomes	source_genome_ids
0	s__Actinomyces urogenitalis	2280	8.585093716841016e-05	1	ASV10.0
0	s__Aeromonas sp023093515	524	1.9730653980810057e-05	1	ASV731.3
0	s__Agathobaculum butyriciproducens	114354	0.004305876346033498	1	ASV337.1
0	s__Alistipes onderdonkii	358	1.3480103292232824e-05	1	ASV166.0
0	s__Anaerostipes hadrus	240164	0.009043115997418447	1	ASV399.6
0	s__Anaerotruncus colihominis	2240	8.434478037598192e-05	1	ASV499.2
0	s__Bacteroides ovatus	1154044	0.04345428023402664	1	ASV150.14
0	s__Bacteroides sp947646015	1432884	0.053953699234043966	1	ASV102.10
0	s__Bacteroides thetaiotaomicron	451484	0.017000142331816886	2	ASV153.8,ASV99.3
0	s__Bacteroides uniformis	12038	0.00045327788668128143	3	ASV101.4,ASV178.5,ASV98.15
0	s__Bifidobacterium adolescentis	254	9.56409563191938e-06	1	ASV19.14
0	s__Bifidobacterium angulatum	76	2.8616979056136724e-06	1	ASV50.0
0	s__Bifidobacterium bifidum	14982	0.0005641310266040005	4	ASV5.11,ASV61.4,ASV68.9,ASV88.2
0	s__Bifidobacterium breve	42490	0.001599915052756907	2	ASV23.7,ASV49.2
0	s__Bifidobacterium longum	2900	0.00010919636745104803	1	ASV1.11
0	s__Bifidobacterium pseudocatenulatum	916	3.449099054660689e-05	4	ASV12.3,ASV511.12,ASV66.4,ASV87.11
0	s__Blautia_A faecis	1860768	0.07006520905832818	2	ASV487.10,ASV525.6
0	s__Blautia_A obeum	1053872	0.03968241177874858	1	ASV406.4
0	s__Butyricimonas synergistica	49300	0.0018563382466678163	1	ASV137.1
0	s__Campylobacter_D jejuni	194	7.304860443277006e-06	1	ASV585.5
0	s__Catenibacterium mitsuoka_A	228346	0.008598121973095521	1	ASV551.0
0	s__Christensenella minuta	38576	0.001452537610617803	1	ASV329.2
0	s__Citrobacter braakii	101572	0.0038245839430130516	1	ASV729.15
0	s__Clostridioides difficile	653052	0.024589967640221314	4	ASV305.7,ASV309.7,ASV476.8,ASV486.6
0	s__Clostridium nitritogenes	6634	0.00024979610402422504	1	ASV473.1
0	s__Clostridium paraputrificum	773386	0.029121014426722835	1	ASV300.8
0	s__Collinsella tanakaei	218254	0.008218118614365874	1	ASV73.2
0	s__Coprococcus ammoniilyticus	5010	0.00018864613825163813	2	ASV334.1,ASV341.3
0	s__Cutibacterium avidum	192	7.229552603655593e-06	1	ASV54.3
0	s__Desulfovibrio fairfieldensis	113152	0.00426061633442103	1	ASV714.0
0	s__Dorea_A longicatena	321990	0.012124185639849294	1	ASV426.8
0	s__Eggerthella lenta	8352	0.0003144855382590183	1	ASV86.13
0	s__Eisenbergiella porci	38166	0.0014370995034954134	1	ASV429.0
0	s__Enterobacter hormaechei_C	188	7.078936924412768e-06	1	ASV699.7
0	s__Enterobacter ludwigii	194	7.304860443277006e-06	1	ASV749.3
0	s__Enterocloster bolteae	19558	0.0007364353636577922	2	ASV447.2,ASV466.0
0	s__Enterococcus faecalis	20726	0.000780415141996697	11	ASV255.2,ASV257.1,ASV374.3,ASV385.7,ASV420.1,ASV491.4,ASV497.3,ASV514.0,ASV515.12,ASV520.8,ASV583.8
0	s__Enterococcus_B hirae	115004	0.004330351393910458	3	ASV258.8,ASV437.3,ASV519.3
0	s__Enterococcus_B pernyi	128	4.819701735770396e-06	1	ASV602.4
0	s__Enterococcus_D innesii	140	5.27154877349887e-06	1	ASV316.11
0	s__Escherichia coli	14060	0.0005294141125385294	4	ASV347.10,ASV440.15,ASV688.0,ASV741.10
0	s__Eubacterium maltosivorans	41554	0.001564670983814086	1	ASV372.2
0	s__Eubacterium_F sp003491505	297736	0.011210927468760425	1	ASV300.2
0	s__Eubacterium_G sp000435815	106	3.991315499934859e-06	1	ASV380.3
0	s__Extibacter hylemonae	412630	0.015537136931491705	1	ASV436.0
0	s__Faecalibacterium prausnitzii	1367528	0.051492789650895446	2	ASV507.1,ASV507.3
0	s__Faecalibacterium taiwanense	1859330	0.07001106272164039	2	ASV507.11,ASV507.9
0	s__Faecalibacterium tardum	593842	0.0223604790482294	1	ASV507.0
0	s__Faecalimonas umbilicata	1766260	0.06650661240485796	1	ASV387.0
