gate_id	requirement	observed	status	expected_gap	evidence	decision
default_launcher_entrypoint	recommended no-manual-strategy entrypoint exists	/home/ubuntu/yihuiguang/tools/KSSD3mini/scripts/minco_profile	pass	False	scripts/minco_profile;scripts/minco_profile_default.py	entrypoint_present
default_launcher_strategy	default launcher delegates to universal-auto-exact	universal-auto-exact	pass	False	scripts/minco_profile_default.py	f1_priority_strategy_selected
default_profile_preset	selected user default preset is candidate	candidate	pass	False	scripts/minco_profile_default.py	candidate_preset_selected
default_manifest	manifest agrees that candidate is the selected default	candidate	pass	False	results/current_default_strategy_manifest.tsv	manifest_default_matches_code
default_contract_test	test suite locks selected default against current manifest	test_default_launcher_constants_match_current_strategy_manifest	pass	False	tests/test_minco_profile_calibrated_auto_exact.py	default_contract_regression_covered
candidate_vs_previous_minco	candidate default has no matched-panel regressions versus previous MinCO	F1_regressions=0;L1_regressions=0;Pearson_regressions=0	pass	False	results/default_release_snapshot_audit.tsv	selected_default_supported_vs_previous_minco
sylph_claim_boundary	current evidence must not claim broad Sylph beating	F1_wins=1/4;L1_wins=0/4;Pearson_wins=0/4	pass	False	results/default_release_snapshot_audit.tsv	broad_sylph_beating_claim_rejected
experimental_allocator_default	guarded feature allocator remains experimental/off by default	keep_feature_allocator_experimental_off_by_default	pass	False	results/feature_allocator_external_exactsplit_audit.tsv	allocator_not_promoted
calibrated_allocator_default	calibrated wrapper abundance feature allocator default is off	off	pass	False	scripts/minco_profile_calibrated.py	experimental_allocator_opt_in_only
ani_reporting	diagnostic ANI reporting uses reported_ani/ZIP-AAF boundary	reporting_ready_not_claim_win	pass	False	results/current_default_strategy_manifest.tsv;scripts/minco_profile_calibrated.py	ani_reporting_documented_not_overclaimed
docs_claim_boundary	README/manual document default use, fallback preset, ANI, and claim boundary	README/manual/changelog checked	pass	False	README.md;docs/USER_MANUAL.md;CHANGELOG.md	user_facing_default_boundary_documented
release_grade_bundle	all holdout panels are release-grade GTDB species evidence	release_grade_all_panels=false;release_grade_panels=4	expected_gap	True	results/holdout_bundle_summary.tsv	not_release_complete_until_more_clean_gtdb_holdouts
cami3_extension_runner_contract	CAMI3 post-recovery extension scorer is ready or scored, and regression-tested	readmaps=3/3;selected_default=3/3;raw_tables=3/3;sylph=3/3;blocker=NA;promotion=post_recovery_extension_scored	pass	False	results/cami3_source_readmap_extension_after_recovery_audit.tsv;score_cami3_source_readmap_extension_after_recovery.py;tests/test_cami3_extension_after_recovery.py	post_recovery_runner_scored_or_cleanly_blocked
next_evidence_route_contract	next evidence route is explicit, non-circular, and regression-tested	top=refined_allocator_candidate;completed=marine_truth_upgrade,hmp_airskin_omitted_samples_2_8_12_26_27,cami3_source_readmap_samples3_5_completed;ready_without_external_restore=marine_truth_upgrade,hmp_airskin_omitted_samples_2_8_12_26_27,cami3_source_readmap_samples3_5_completed,current_default_candidate	pass	False	results/universal_strategy_next_evidence_routes_audit.tsv;audit_universal_strategy_next_evidence_routes.py;tests/test_universal_strategy_next_evidence_routes.py	next_route_ready_no_threshold_sweep_release_claim
abundance_release_claim	selected default should not claim broad abundance superiority	selected_default_L1_losses=4/4;posthoc_blend=do_not_promote_abundance_blend;oracle=prioritize_allocator_plus_call_recovery;feature_allocator=do_not_promote_until_external_sample_safe;refined_score_replay=refined_guard_score_replay_pass_candidate_needs_independent_holdout;marine_diagnostic=diagnostic_supports_refined_allocator_holdout_candidate;holdout_inventory=release_grade_independent_holdout_missing;recovery_plan=do_not_promote_refined_allocator_without_independent_release_holdout;source_profile_extension=keep_refined_allocator_opt_in;source_readmap_inputs=post_recovery_scoring_ready	expected_gap	True	results/abundance_release_blocker_audit.tsv	abundance_expected_gap_not_release_claim
runtime_claim_boundary	runtime snapshot records speed/memory tradeoff instead of faster-than-Sylph claim	samples=7;seconds_ratio=2.515;rss_ratio=0.191	pass	False	results/default_release_snapshot_audit.tsv	speed_claim_rejected_memory_advantage_recorded
current_release_decision	release decision is current stable default, not final universal claim	selected_candidate_default;experimental_allocators_off;do_not_claim_broad_sylph_beating	pass	False	results/default_release_snapshot_audit.tsv	goal_progress_not_goal_complete
summary	universal strategy release gate summary	pass=15;fail=0;expected_gap=2	pass	True	results/universal_strategy_release_gate.tsv	current_default_supported_with_expected_release_gaps
