panel	sample	profile	n_calls	abundance_entropy	top1_abundance	top3_abundance	probability_mean	probability_median	probability_min	max_xny_median	max_xny_p25	max_breadth_median	max_breadth_p25	max_real_min_af_median	max_zip_af_median	max_mean_depth_median	max_depth_cv_mean	low_prob_breadth_frac	low_prob_breadth_mass_frac	low_prob_xny_frac	low_prob_xny_mass_frac	low_real_frac	low_xny25_frac	low_breadth05_frac	best_mean_filter_drop_frac	best_mean_filter_drop_mass_frac
cami2_toy_mouse_gut	5	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	162.0	2.9186326232318818	0.4168705037010741	0.5687209865705384	0.840311521890512	0.9101599766140375	0.3611660369475717	249.0	76.75	0.20597549999999998	0.06235775	0.249	0.792197	0.2773625	2.955352722222222	0.13580246913580246	0.0288406112966082	0.018518518518518517	0.001548369583908693	0.06790123456790123	0.012345679012345678	0.16049382716049382	0.13580246913580246	0.0288406112966082
cami2_toy_mouse_gut	6	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	157.0	3.1388651758657247	0.297565896884793	0.5507792143943954	0.8190962215783656	0.8646073626033869	0.2175481366422357	289.0	151.0	0.244993	0.110215	0.289	0.788822	0.314361	2.483329496815287	0.09554140127388536	0.01872236036529194	0.0	0.0	0.0	0.0	0.0	0.09554140127388536	0.01872236036529194
cami2_toy_mouse_gut	7	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	64.0	2.6321961369408324	0.2322398302997202	0.5256724271418082	0.8441663742921348	0.9152630631301883	0.2537453255923714	455.5	379.25	0.4066955	0.32654075	0.4555	0.7789325	0.6119969999999999	1.62506509375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	94.0	3.0535345979869235	0.3167379390890516	0.44363185737232225	0.7149276103836254	0.7226971759858505	0.3514657929361656	210.0	38.75	0.11603849999999999	0.017536999999999997	0.21000000000000002	0.76912	0.218329	15.340778882978723	0.39361702127659576	0.17503607408180866	0.24468085106382978	0.07572011112024596	0.2978723404255319	0.1702127659574468	0.3617021276595745	0.39361702127659576	0.17503607408180866
cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	99.0	3.314505492156466	0.173939035482444	0.3565894079479801	0.7293188680544018	0.749735430840311	0.3577539232049566	174.0	39.0	0.123425	0.022926000000000002	0.174	0.832823	0.184111	16.067549777777778	0.3434343434343434	0.12245110508632102	0.24242424242424243	0.10351979407779954	0.31313131313131315	0.16161616161616163	0.36363636363636365	0.3434343434343434	0.12245110508632102
cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv	115.0	3.043862427627168	0.239753202976825	0.4265626890940756	0.6643937308414368	0.643634856964667	0.2800379685577531	109.0	25.0	0.0616	0.0118165	0.109	1.0	0.134391	16.948395982608695	0.45217391304347826	0.07198204608457127	0.2608695652173913	0.003656845391694827	0.391304347826087	0.24347826086956523	0.4956521739130435	0.45217391304347826	0.07198204608457127
hmp_airskin_gtdb_source_abundance	0	/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv	36.0	2.312764224857559	0.4012979127775566	0.6192855417270018	0.7779897524555616	0.8241438599703732	0.3577064869556492	622.0	340.0	0.4579	0.20316375	0.622	1.0	1.2599595	10.862866944444445	0.19444444444444445	0.04841779671623063	0.05555555555555555	2.719610254884731e-05	0.05555555555555555	0.05555555555555555	0.1111111111111111	0.19444444444444445	0.04841779671623063
hmp_airskin_gtdb_source_abundance	1	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	99.0	2.3487521486960277	0.4509201316584091	0.6914413394442369	0.6526832247296572	0.5449530918387928	0.3749368973642101	412.0	4.0	0.194308	0.004	0.412	1.0	0.643812	11.427902878787878	0.48484848484848486	0.06114992576000731	0.2828282828282828	0.001895641386412883	0.2828282828282828	0.2727272727272727	0.3333333333333333	0.48484848484848486	0.06114992576000731
hmp_airskin_gtdb_source_abundance	10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	69.0	2.6950136586876883	0.2076503416393362	0.5142230242631106	0.8117746856157045	0.8850472080034513	0.3723527197478625	409.0	246.0	0.282367	0.188324	0.409	1.0	0.5689	9.181640840579707	0.15942028985507245	0.03533002602533281	0.014492753623188406	1.0211525170786383e-05	0.028985507246376812	0.014492753623188406	0.043478260869565216	0.15942028985507245	0.03533002602533281
hmp_airskin_gtdb_source_abundance	11	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	32.0	2.5306329745367555	0.1894421312224603	0.4667641340632604	0.846857413231869	0.9005392221195301	0.4616591226730817	922.5	798.5	0.6840310000000001	0.5581855	0.9225000000000001	1.0	3.5829895	4.7442096875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	13	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv	40.0	2.2476944614108954	0.349584274004052	0.699637758315744	0.8313151421599437	0.8833427711420064	0.394052863565713	309.0	232.0	0.2551565	0.16670925	0.309	1.0	0.26559	9.310533724999999	0.125	0.014057979462838929	0.0	0.0	0.025	0.0	0.05	0.125	0.014057979462838929
hmp_airskin_gtdb_source_abundance	14	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	30.0	1.889552243696348	0.5727444598569386	0.7207139747859848	0.8809609006698412	0.9488161075951622	0.4370190420866554	935.5	723.25	0.782718	0.42162499999999997	0.9355	1.0	4.643645	11.207274966666668	0.03333333333333333	0.001856692681688102	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.001856692681688102
hmp_airskin_gtdb_source_abundance	15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	22.0	1.1931712680125837	0.7214983103823736	0.8570508666922028	0.8379524860416112	0.9056106946970179	0.5231920773375729	777.0	533.25	0.6873925000000001	0.34165975	0.7769999999999999	1.0	2.004049	4.35089909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	16	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv	10.0	1.1552525099779345	0.71788102649343	0.8440494861254986	0.8893429581675198	0.9154575193697241	0.609185135408064	923.5	866.25	0.7847235	0.67951125	0.9235	0.9923664999999999	20.177993	6.203384799999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	17	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv	73.0	2.398346652777461	0.5062832210182114	0.6412523749243779	0.7428647843864737	0.831306647757623	0.3856249602568238	594.0	312.0	0.4141	0.123271	0.594	1.0	1.170239	12.63435909589041	0.3287671232876712	0.07463161033362864	0.136986301369863	0.0029109934905463455	0.136986301369863	0.136986301369863	0.1506849315068493	0.3287671232876712	0.07463161033362864
hmp_airskin_gtdb_source_abundance	18	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv	26.0	1.912081045382859	0.3564176318857567	0.7842136843876159	0.8945484952463334	0.920377163166742	0.5891990458334775	946.0	871.5	0.7924420000000001	0.6603542499999999	0.946	1.0	3.236945	9.238359076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	19	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	147.0	3.9390557965201447	0.1402342241630733	0.2633757249095427	0.734044033259167	0.793493778121547	0.3569811256805111	660.0	275.5	0.44737	0.1219215	0.66	1.0	1.201349	10.323228965986395	0.2857142857142857	0.08129926465052041	0.16326530612244897	0.0006344270476977282	0.17006802721088435	0.16326530612244897	0.19047619047619047	0.2857142857142857	0.08129926465052041
hmp_airskin_gtdb_source_abundance	2	/tmp/minco_current_code_hmp_airskin2_20260627/minco_sample2_current_default.tsv	29.0	2.54778704122975	0.2665998991682984	0.5225299422601053	0.8834043883904534	0.9176261107849444	0.4855623317783276	850.0	707.0	0.715766	0.48215	0.85	1.0	7.383898	5.825584724137931	0.06896551724137931	0.010310911786288015	0.0	0.0	0.0	0.0	0.0	0.06896551724137931	0.010310911786288015
hmp_airskin_gtdb_source_abundance	20	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv	106.0	2.8814190841566005	0.3966736609315463	0.5216915261115583	0.7480924038646374	0.817375149705639	0.4119697462899382	619.5	266.5	0.4319225	0.12674725	0.6194999999999999	1.0	0.9391045	11.158182745283018	0.29245283018867924	0.09512131139412504	0.14150943396226415	7.246486108303107e-05	0.1509433962264151	0.14150943396226415	0.16981132075471697	0.29245283018867924	0.09512131139412504
hmp_airskin_gtdb_source_abundance	21	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv	41.0	2.617338491044714	0.2656787040768778	0.53269249891724	0.7737325184737605	0.8072841929684813	0.40907579840477	653.0	388.0	0.468217	0.218044	0.653	1.0	1.078487	11.558054951219512	0.17073170731707318	0.15201575570877635	0.0	0.0	0.0	0.0	0.04878048780487805	0.17073170731707318	0.15201575570877635
hmp_airskin_gtdb_source_abundance	22	/tmp/minco_current_code_hmp_airskin22_20260627/minco_sample22_current_default.tsv	38.0	2.291796190280048	0.3792830690760033	0.5642660520152663	0.6555107563597196	0.5519405732335714	0.4057023585796319	461.0	4.0	0.25101850000000003	0.004	0.461	1.0	2.1209435	10.566675000000002	0.42105263157894735	0.022019903531248476	0.3157894736842105	5.301162713245353e-05	0.3157894736842105	0.3157894736842105	0.3157894736842105	0.42105263157894735	0.022019903531248476
hmp_airskin_gtdb_source_abundance	23	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv	36.0	1.9350439942190685	0.4999916132807124	0.7532725879318107	0.7486860426503821	0.8207969727581741	0.351842551771164	530.5	337.75	0.2924065	0.17568625	0.5305	1.0	0.8019215	11.673511055555556	0.2777777777777778	0.05788249893398738	0.05555555555555555	0.018580405227321427	0.05555555555555555	0.0	0.08333333333333333	0.2777777777777778	0.05788249893398738
hmp_airskin_gtdb_source_abundance	24	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	26.0	2.4812408510113135	0.2266798566844014	0.5401974188360165	0.8693597728934708	0.9357030524728263	0.4957896285057437	876.0	742.75	0.805172	0.52639125	0.876	1.0	7.840592000000001	3.018252807692307	0.038461538461538464	0.00637782881442831	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	0.00637782881442831
