sample	source_genome_id	taxid	read_rows	primary_mapping_method	primary_mapping_read_rows	wgs_prefix_read_rows	unique_taxid_read_rows	unmapped_read_rows
3	ASV1.9	571	11476	wgs_prefix	11476	11476	0	0
3	ASV10.0	103621	6630	wgs_prefix	6630	6630	0	0
3	ASV101.0	246787	6824	wgs_prefix	6824	6824	0	0
3	ASV102.2	817	3534340	wgs_prefix	3534340	3534340	0	0
3	ASV113.4	310297	574	wgs_prefix	574	574	0	0
3	ASV124.1	821	454	wgs_prefix	454	454	0	0
3	ASV127.7	487174	162	wgs_prefix	162	162	0	0
3	ASV134.1	28116	1334	wgs_prefix	1334	1334	0	0
3	ASV139.5	28118	62280	wgs_prefix	62280	62280	0	0
3	ASV148.12	818	636	unmapped	636	0	0	636
3	ASV149.7	165179	194	wgs_prefix	194	194	0	0
3	ASV150.2	28116	320	wgs_prefix	320	320	0	0
3	ASV153.6	818	320	wgs_prefix	320	320	0	0
3	ASV156.7	818	1332	unmapped	1332	0	0	1332
3	ASV165.0	328813	2216	wgs_prefix	2216	2216	0	0
3	ASV166.16	328813	919650	wgs_prefix	919650	919650	0	0
3	ASV173.5	823	480	wgs_prefix	480	480	0	0
3	ASV174.3	823	501432	wgs_prefix	501432	501432	0	0
3	ASV19.6	1686	182	wgs_prefix	182	182	0	0
3	ASV194.9	817	252	wgs_prefix	252	252	0	0
3	ASV204.0	58712	2898	unique_taxid	2898	0	2898	0
3	ASV219.10	573	264	wgs_prefix	264	264	0	0
3	ASV221.3	28901	230	wgs_prefix	230	230	0	0
3	ASV222.14	1982628	9258	wgs_prefix	9258	9258	0	0
3	ASV226.9	1396	268	wgs_prefix	268	268	0	0
3	ASV227.0	29391	164	wgs_prefix	164	164	0	0
3	ASV23.2	216816	2458	wgs_prefix	2458	2458	0	0
3	ASV243.0	1290	406	wgs_prefix	406	406	0	0
3	ASV245.13	1303	290	wgs_prefix	290	290	0	0
3	ASV248.13	1328	86	wgs_prefix	86	86	0	0
3	ASV255.4	749513	1794	unique_taxid	1794	0	1794	0
3	ASV256.1	37734	178	wgs_prefix	178	178	0	0
3	ASV265.16	1597	134	wgs_prefix	134	134	0	0
3	ASV266.10	1596	956	wgs_prefix	956	956	0	0
3	ASV266.3	2107999	1598	wgs_prefix	1598	1598	0	0
3	ASV266.8	2012495	2136	wgs_prefix	2136	2136	0	0
3	ASV286.3	1318	92	wgs_prefix	92	92	0	0
3	ASV287.11	1358	11032	wgs_prefix	11032	11032	0	0
3	ASV290.8	1311	27024	wgs_prefix	27024	27024	0	0
3	ASV297.3	33038	154	wgs_prefix	154	154	0	0
3	ASV30.0	1423493	210	unique_taxid	210	0	210	0
3	ASV300.7	2293160	695628	wgs_prefix	695628	695628	0	0
3	ASV31.1	2943492	508	wgs_prefix	508	508	0	0
3	ASV324.5	1297617	7008	wgs_prefix	7008	7008	0	0
3	ASV329.2	626937	155276	unique_taxid	155276	0	155276	0
3	ASV331.10	562	1126	wgs_prefix	1126	1126	0	0
3	ASV334.4	29363	3972	wgs_prefix	3972	3972	0	0
3	ASV337.1	2292004	49670	wgs_prefix	49670	49670	0	0
3	ASV341.4	1502	150	wgs_prefix	150	150	0	0
3	ASV35.0	1683	198	wgs_prefix	198	198	0	0
3	ASV364.1	1776384	2512	unmapped	2512	0	0	2512
3	ASV371.8	342942	27160	wgs_prefix	27160	27160	0	0
3	ASV374.8	1579	380	wgs_prefix	380	380	0	0
3	ASV380.6	2293103	136	wgs_prefix	136	136	0	0
