genome_id	abundance	source_taxid	source_accession	source_basename	source_lookup_key	mapping_method	metadata_accession	metadata_domain	metadata_genbank_accession	ncbi_taxid_metadata	ncbi_species_taxid_metadata	ncbi_species_metadata	ncbi_organism_name_metadata	gtdb_species	gtdb_taxonomy	tar_path	local_path
4476780.0	1.0	1780376	GCF_900021155.1	GCF_900021155.1_CHCKI003.fa	GCF_900021155.1	exact_accession	RS_GCF_900021155.1	bac120	GCA_900021155.1	1780376	1780376	Alistipes sp. CHKCI003	Alistipes sp. CHKCI003	s__Alistipes excrementavium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium	source_genomes/GCF_900021155.1_CHCKI003.fa	
303652.0	4.0	1313	GCF_001115565.1	GCF_001115565.1_6259_7_5.fa	GCF_001115565.1	exact_accession	RS_GCF_001115565.1	bac120	GCA_001115565.1	1313	1313	Streptococcus pneumoniae	Streptococcus pneumoniae	s__Streptococcus pneumoniae	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	source_genomes/GCF_001115565.1_6259_7_5.fa	
4378740.0	21.9079670102	999422	GCF_000243015.1	GCF_000243015.1_Prev_macu_OT_289_V1.fa	GCF_000243015.1	exact_accession	RS_GCF_000243015.1	bac120	GCA_000243015.1	999422	439703	Segatella maculosa	Segatella maculosa OT 289	s__Prevotella maculosa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella maculosa	source_genomes/GCF_000243015.1_Prev_macu_OT_289_V1.fa	
4378740.1	7.09203298982	873513	GCF_000184945.1	GCF_000184945.1_ASM18494v1.fa	GCF_000184945.1	exact_accession	RS_GCF_000184945.1	bac120	GCA_000184945.1	873513	28126	Segatella buccae	Segatella buccae ATCC 33574	s__Prevotella buccae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccae	source_genomes/GCF_000184945.1_ASM18494v1.fa	
1992.0	3.0	1379690	GCF_900095495.1	GCF_900095495.1_B_ovatus_V975.fa	GCF_900095495.1	exact_accession	RS_GCF_900095495.1	bac120	GCA_900095495.1	1379690	28116	Bacteroides ovatus	Bacteroides ovatus V975	s__Bacteroides ovatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	source_genomes/GCF_900095495.1_B_ovatus_V975.fa	
174573.0	8.0	1739394	GCF_001808555.1	GCF_001808555.1_ASM180855v1.fa	GCF_001808555.1	exact_accession	RS_GCF_001808555.1	bac120	GCA_001808555.1	1739394	1739394	Porphyromonas sp. HMSC065F10	Porphyromonas sp. HMSC065F10	s__Porphyromonas_A sp001808555	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555	source_genomes/GCF_001808555.1_ASM180855v1.fa	
827592.0	0.762014974563	720554	GCF_000237085.1	GCF_000237085.1_ASM23708v1.fa	GCF_000237085.1	exact_accession	RS_GCF_000237085.1	bac120	GCA_000237085.1	720554	288965	Acetivibrio clariflavus	Acetivibrio clariflavus DSM 19732	s__Acetivibrio clariflavus	d__Bacteria;p__Bacillota;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio clariflavus	source_genomes/GCF_000237085.1_ASM23708v1.fa	
4444771.0	0.316393516606	457422	GCF_000225685.1	GCF_000225685.1_Erys_bact_2_2_44A_V1.fa	000225685.1	unique_assembly_core	GB_GCA_000225685.1	bac120	GCA_000225685.1	457422	457422	Erysipelotrichaceae bacterium 2_2_44A	Erysipelotrichaceae bacterium 2_2_44A	s__Clostridium_AQ innocuum	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum	source_genomes/GCF_000225685.1_Erys_bact_2_2_44A_V1.fa	
318732.1	1.54645508317	999412	GCF_000371445.1	GCF_000371445.1_Clos_hath_12489931_V1.fa	GCF_000371445.1	exact_accession	RS_GCF_000371445.1	bac120	GCA_000371445.1	999412	154046	Hungatella hathewayi	Hungatella hathewayi 12489931	s__Hungatella effluvii	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	source_genomes/GCF_000371445.1_Clos_hath_12489931_V1.fa	
47365.0	163.0	1033837	GCF_000214785.1	GCF_000214785.1_ASM21478v1.fa	GCF_000214785.1	exact_accession	RS_GCF_000214785.1	bac120	GCA_000214785.1	190905	267818	Lactobacillus kefiranofaciens	Lactobacillus kefiranofaciens subsp. kefiranofaciens	s__Lactobacillus kefiranofaciens	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kefiranofaciens	source_genomes/GCF_000214785.1_ASM21478v1.fa	
190114.0	2.0	1410638	GCF_000621765.1	GCF_000621765.1_ASM62176v1.fa	000621765.1	unique_assembly_core	GB_GCA_000621765.1	bac120	GCA_000621765.1	1410638	1410638	Ruminococcaceae bacterium AB4001	Ruminococcaceae bacterium AB4001	s__Saccharofermentans sp000621765	d__Bacteria;p__Bacillota;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp000621765	source_genomes/GCF_000621765.1_ASM62176v1.fa	
381666.0	3.0	959	GCF_001592745.1	GCF_001592745.1_ASM159274v1.fa	GCF_001592745.1	exact_accession	RS_GCF_001592745.1	bac120	GCA_001592745.1	959	959	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus	s__Bdellovibrio bacteriovorus_B	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus_B	source_genomes/GCF_001592745.1_ASM159274v1.fa	
135956.0	33.0	1582	GCF_001066565.1	GCF_001066565.1_ASM106656v1.fa	GCF_001066565.1	exact_accession	RS_GCF_001066565.1	bac120	GCA_001066565.1	1597	1597	Lacticaseibacillus paracasei	Lacticaseibacillus paracasei	s__Lacticaseibacillus paracasei	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	source_genomes/GCF_001066565.1_ASM106656v1.fa	
