gtdb_species	gtdb_taxonomy	source_genomes	total_abundance	relative_abundance	source_accessions	source_genome_ids	source_taxids	source_ncbi_species	mapping_methods
s__Secundilactobacillus pentosiphilus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Secundilactobacillus;s__Secundilactobacillus pentosiphilus	1	340.0	0.2335164835164838	GCF_002217985.1	851733.0	1714682	Secundilactobacillus pentosiphilus	exact_accession
s__Lactobacillus helveticus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus	2	248.50435182043	0.1706760658107351	GCF_000493555.1,GCF_001702095.1	171232.0,463794.1	1226333,1587	Lactobacillus helveticus	exact_accession
s__Lactobacillus kefiranofaciens	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kefiranofaciens	1	163.0	0.1119505494505496	GCF_000214785.1	47365.0	1033837	Lactobacillus kefiranofaciens	exact_accession
s__Ligilactobacillus agilis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus agilis	1	147.0	0.10096153846153859	GCF_002218725.1	169106.0	1601	Ligilactobacillus agilis	exact_accession
s__Ligilactobacillus acidipiscis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus acidipiscis	1	102.0	0.07005494505494514	GCF_001436945.1	4354103.0	89059	Ligilactobacillus acidipiscis	exact_accession
s__Lactiplantibacillus plantarum	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	2	65.0	0.0446428571428572	GCF_001981595.1,GCF_001704645.1	4397402.0,137043.0	1590	Lactiplantibacillus plantarum	exact_accession
s__Anaerotignum lactatifermentans	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans	1	52.0	0.03571428571428576	GCF_900142265.1	4469576.0	1121323	Anaerotignum lactatifermentans	exact_accession
s__Loigolactobacillus coryniformis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Loigolactobacillus;s__Loigolactobacillus coryniformis	1	46.0	0.031593406593406634	GCF_002706705.1	187233.0	1423822	Loigolactobacillus coryniformis	exact_accession
s__Latilactobacillus sakei	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	2	43.0	0.02953296703296707	GCF_900234395.1,GCF_002751085.1	182764.0,288521.0	1599	Latilactobacillus sakei	exact_accession
s__Hungatella hathewayi	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella hathewayi	1	41.4535449168	0.028470841289011024	GCF_000160095.1	318732.0	566550	Hungatella hathewayi	exact_accession
s__Lacticaseibacillus paracasei	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	2	38.0	0.02609890109890113	GCF_001066565.1,GCF_002442835.1	135956.0,187962.0	1582,1597	Lacticaseibacillus paracasei	exact_accession
s__Akkermansia muciniphila_A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A	1	25.0	0.017170329670329693	GCF_900184965.1	4306262.0	239935	Akkermansia muciniphila	exact_accession
s__Prevotella maculosa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella maculosa	1	21.9079670102	0.015046680638873645	GCF_000243015.1	4378740.0	999422	Segatella maculosa	exact_accession
s__Lactobacillus amylovorus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	1	10.0	0.006868131868131877	GCF_000191545.1	166911.0	1604	Lactobacillus amylovorus	exact_accession
s__Allobosea robiniae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Allobosea;s__Allobosea robiniae	1	9.0	0.006181318681318689	GCF_001429415.1	831178.0	1736583	Bosea sp. Root670	exact_accession
s__Bacteroides fragilis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	3	8.32812699226	0.005719867439739018	GCF_001056335.1,GCF_000009925.1,GCF_001682215.1	4340358.0,181719.0,304047.0	817,295405	Bacteroides fragilis	exact_accession
s__Lactobacillus acidophilus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acidophilus	1	8.0	0.005494505494505501	GCF_000934625.1	1995182.0	1579	Lactobacillus acidophilus	exact_accession
s__Porphyromonas_A sp001808555	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555	1	8.0	0.005494505494505501	GCF_001808555.1	174573.0	1739394	Porphyromonas sp. HMSC065F10	exact_accession
s__Prevotella buccae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccae	1	7.09203298982	0.004870901778722533	GCF_000184945.1	4378740.1	873513	Segatella buccae	exact_accession
s__Sediminibacterium sp000515315	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp000515315	1	7.0	0.004807692307692314	GCF_000515315.1	4394913.0	925409	Asinibacterium sp. OR53	exact_accession
s__Culturomica lanea	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Culturomica;s__Culturomica lanea	1	4.0	0.0027472527472527505	GCF_000243215.1	835900.0	742817	Odoribacter laneus	exact_accession
s__Streptococcus pneumoniae	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	1	4.0	0.0027472527472527505	GCF_001115565.1	303652.0	1313	Streptococcus pneumoniae	exact_accession
s__Bacteroides ovatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	1	3.0	0.002060439560439563	GCF_900095495.1	1992.0	1379690	Bacteroides ovatus	exact_accession
s__Bdellovibrio bacteriovorus_B	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus_B	1	3.0	0.002060439560439563	GCF_001592745.1	381666.0	959	Bdellovibrio bacteriovorus	exact_accession
