gtdb_species	gtdb_taxonomy	source_genomes	total_abundance	relative_abundance	source_accessions	source_genome_ids	source_taxids	source_ncbi_species	mapping_methods
s__Hungatella hathewayi	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella hathewayi	1	3011.64824	0.4179942040253326	GCF_000160095.1	318732.0	566550	Hungatella hathewayi	exact_accession
s__Prevotella maculosa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella maculosa	2	1121.8696098995	0.15570709367112273	GCF_000243015.1,GCF_000382385.1	4378740.0,denovo2819.0	999422,1122986	Segatella maculosa	exact_accession
s__Prevotella buccae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccae	2	365.047178108	0.050665812367564976	GCF_000184945.1,GCF_000162455.1	4378740.1,denovo11206.0	873513,575611	Segatella buccae	exact_accession
s__Bilophila wadsworthia	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	3	314.0	0.043580846634318236	GCF_000224655.1,GCF_000701705.1,GCF_000185705.2	denovo5877.0,1108599.0,denovo5602.0	693988,1408428,563192	Bilophila sp. 4_1_30,Bilophila wadsworthia	exact_accession
s__Culturomica lanea	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Culturomica;s__Culturomica lanea	1	140.0	0.019430950728676923	GCF_000243215.1	835900.0	742817	Odoribacter laneus	exact_accession
s__Hungatella effluvii	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	1	112.351759996	0.01559358223401722	GCF_000371445.1	318732.1	999412	Hungatella hathewayi	exact_accession
s__Robiginitomaculum antarcticum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Robiginitomaculum;s__Robiginitomaculum antarcticum	1	109.0	0.015128383067327032	GCF_000365025.1	1571092.0	1123059	Robiginitomaculum antarcticum	exact_accession
s__Bacteroides fragilis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	4	103.442751499	0.014357078625827427	GCF_001580105.1,GCF_001056335.1,GCF_000009925.1,GCF_001682215.1	denovo5713.0,4340358.0,181719.0,304047.0	246787,817,295405	Bacteroides fragilis	exact_accession
s__Bdellovibrio bacteriovorus	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus	1	91.0	0.01263011797364	GCF_000196175.1	4405128.0	264462	Bdellovibrio bacteriovorus	exact_accession
s__Porphyromonas gingivalis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	10	84.25801863991879	0.011694381490630026	GCF_900157245.1,GCF_900157255.1,GCF_002754115.1,GCF_900157275.1,GCF_000467795.1,GCF_000010505.1,GCF_000467835.1,GCF_002754035.1,GCF_001274615.1,GCF_000739415.1	197644.0,339549.0,192316.1,178274.0,175706.0,denovo10990.0,denovo6242.0,228730.0,228730.1,276629.0	837,1227269,431947,1227271,1403336	Porphyromonas gingivalis	exact_accession
s__Porphyromonas_A sp001808555	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555	1	84.0	0.011658570437206153	GCF_001808555.1	174573.0	1739394	Porphyromonas sp. HMSC065F10	exact_accession
s__Alistipes finegoldii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	1	70.0	0.009715475364338462	GCF_000265365.1	4449518.0	679935	Alistipes finegoldii	exact_accession
s__Faecalimonas sp000209385	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp000209385	1	69.0	0.009576682859133625	GCF_000209385.2	197875.0	742723	Lachnospiraceae bacterium 2_1_46FAA	unique_assembly_core
s__Enterocloster asparagiformis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster asparagiformis	1	63.0	0.008743927827904615	GCF_000158075.1	162576.0	518636	Enterocloster asparagiformis	exact_accession
s__NK4A144 sp000424365	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A144;s__NK4A144 sp000424365	1	63.0	0.008743927827904615	GCF_000424365.1	174824.0	877421	Lachnospiraceae bacterium NK4A144	unique_assembly_core
s__Oribacterium parvum	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium parvum	1	63.0	0.008743927827904615	GCF_000238055.2	168517.0	796943	Oribacterium parvum	exact_accession
s__Secundilactobacillus pentosiphilus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Secundilactobacillus;s__Secundilactobacillus pentosiphilus	1	62.0	0.00860513532269978	GCF_002217985.1	851733.0	1714682	Secundilactobacillus pentosiphilus	exact_accession
s__Butyrivibrio sp000423945	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp000423945	2	54.0	0.007494795281061098	GCF_000424125.1,GCF_000423945.1	180944.0,168984.0	1280671,1280665	Butyrivibrio sp. FC2001,Butyrivibrio sp. XPD2002	exact_accession
s__Enterocloster clostridioformis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis	6	50.359110899855	0.006989467161678996	GCF_000371505.1,GCF_000371545.1,GCF_000234155.1,GCF_000371585.1,GCF_900108895.1,GCF_000371405.1	263992.0,1931575.0,190547.0,3919797.0,189585.0,260752.0	999408,999406,742735,999404,1531,999410	Enterocloster clostridioformis	exact_accession
s__Hominimerdicola sp000621805	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola sp000621805	1	50.0	0.0069396252602417574	GCF_000621805.1	4417539.0	1410617	Ruminococcus sp. FC2018	exact_accession
s__Faecalibacterium prausnitzii	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	3	49.28173206188	0.0068399350537017714	GCF_002549935.1,GCF_000154385.1,GCF_002549945.1	304080.0,189840.0,324894.1	853,411485	Faecalibacterium prausnitzii	exact_accession
s__Bdellovibrio bacteriovorus_B	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus_B	1	44.0	0.006106870229012747	GCF_001592745.1	381666.0	959	Bdellovibrio bacteriovorus	exact_accession
s__Bacteroides thetaiotaomicron	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	3	36.0	0.004996530187374066	GCF_000403155.2,GCF_000159875.2,GCF_000011065.1	344525.0,denovo7195.0,denovo1874.0	1235785,469586,226186	Bacteroides thetaiotaomicron	exact_accession
s__Lacticaseibacillus paracasei	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	2	34.0	0.004718945176964395	GCF_001066565.1,GCF_002442835.1	135956.0,187962.0	1582,1597	Lacticaseibacillus paracasei	exact_accession
s__Porphyromonas_A cangingivalis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A cangingivalis	1	29.0	0.004024982650940219	GCF_000766005.1	187028.0	36874	Porphyromonas cangingivalis	exact_accession
s__Butyrivibrio fibrisolvens_C	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio fibrisolvens_C	2	28.0	0.003886190145735384	GCF_000424425.1,GCF_000424405.1	136604.0,460611.0	1280700,1280699	Butyrivibrio fibrisolvens	exact_accession
s__Lactobacillus kefiranofaciens	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kefiranofaciens	1	28.0	0.003886190145735384	GCF_000214785.1	47365.0	1033837	Lactobacillus kefiranofaciens	exact_accession
s__Alistipes excrementavium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium	1	25.0	0.0034698126301208787	GCF_900021155.1	4476780.0	1780376	Alistipes sp. CHKCI003	exact_accession
s__Kandleria vitulina	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Kandleria;s__Kandleria vitulina	3	24.999999999998	0.003469812630120601	GCF_900109215.1,GCF_900103115.1,GCF_000621925.1	180869.0,4449984.1,4449984.0	1630,1410659	Kandleria vitulina	exact_accession
s__Papillibacter cinnamivorans	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Papillibacter;s__Papillibacter cinnamivorans	1	23.0	0.0031922276197112087	GCF_900176335.1	181961.0	1122930	Papillibacter cinnamivorans	exact_accession
s__Prevotella brevis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella brevis	1	22.0	0.0030534351145063733	GCF_000621825.1	denovo9909.0	1410666	Xylanibacter brevis	exact_accession
